Question,1,2,3,4,5,N
Matrimonio,22,0,45,1,31,99
Superioridad Partido Comunista,53,7,11,6,4,81
Irrevocabilidad del socialismo,27,2,10,1,0,40
Derechos humanos,10,3,15,5,5,38
Elección del presidente,27,1,7,1,1,37
Reconocimiento propiedad privada,6,5,17,4,5,37
Gobernador,20,2,4,9,0,35
Funcionamiento de la ANPP,22,6,1,1,0,30
Salario,8,3,5,5,0,21
Concentración de la propiedad,14,5,4,3,2,28
Educación,12,6,6,3,0,27
Estado y Sistema de Gobierno,14,3,8,1,0,26
Exclusión del término comunismo y otros,12,0,13,0,0,25
Limitación de mandatos,5,1,9,1,8,24
Participación ciudadana,12,3,3,4,1,23
Formas de propiedad,2,2,13,4,2,23
Propiedad socialista de todo el pueblo,11,5,6,1,0,23
Libertad de expresión,5,2,6,4,5,22
Derecho de asociación,10,3,3,4,2,22
Trabajo,10,0,5,5,1,21
